"tickers";"capex2018";"capex2019";"capex2020";"capex2021";"capex2022";"net_assets_from_acquisitions2018";"net_assets_from_acquisitions2019";"net_assets_from_acquisitions2020";"net_assets_from_acquisitions2021";"net_assets_from_acquisitions2022";"sale_of_fixed_assets_businesses2018";"sale_of_fixed_assets_businesses2019";"sale_of_fixed_assets_businesses2020";"sale_of_fixed_assets_businesses2021";"sale_of_fixed_assets_businesses2022"
"KLAC";"(130.5M)";"(152.68M)";"(231.63M)";"(307.32M)";"(341.59M)";"(1.82B)";"(90.14M)";"-";"(479.11M)";"(31.44M)";"-";"-";"18.69M";"27.66M";"75.36M"
"KMB";"(877M)";"(1.21B)";"(1.22B)";"(1.01B)";"(876M)";"-";"-";"(1.08B)";"-";"(46M)";"51M";"242M";"31M";"43M";"12M"
"KMI";"(2.96B)";"(2.35B)";"(1.72B)";"(1.28B)";"(1.62B)";"-";"-";"-";"(1.55B)";"(487M)";"3.02B";"1.61B";"1.07B";"406M";"563M"
"KMX";"(304.64M)";"(331.9M)";"(164.54M)";"(308.53M)";"(422.71M)";"-";"-";"-";"(241.56M)";"-";"692K";"3K";"31.76M";"12.56M";"5.19M"
"KO";"(1.55B)";"(2.05B)";"(1.18B)";"(1.37B)";"(1.48B)";"(1.26B)";"(5.54B)";"(1.05B)";"(4.77B)";"(73M)";"1.61B";"1.41B";"378M";"2.29B";"533M"
"KR";"(2.97B)";"(3.13B)";"(2.87B)";"(2.61B)";"(3.08B)";"(241M)";"-";"-";"-";"-";"2.25B";"600M";"165M";"153M";"78M"
"L";"(995M)";"(1.04B)";"(710M)";"(482M)";"(660M)";"(37M)";"(280M)";"(578M)";"(18M)";"(66M)";"113M";"140M";"65M";"80M";"16M"
"LDOS";"(73M)";"(121M)";"(183M)";"(104M)";"(129M)";"(89M)";"(94M)";"(2.66B)";"(622M)";"(199M)";"-";"274M";"12M";"41M";"21M"
"LEN";"(130.44M)";"(86.5M)";"(72.75M)";"(65.17M)";"(57.21M)";"(1.19B)";"(43.73M)";"(42.35M)";"(24.61M)";"(91.33M)";"428.98M";"131.61M";"225.53M";"114.55M";"66.5M"
"LH";"(379.8M)";"(400.2M)";"(381.7M)";"(460.4M)";"(481.9M)";"(117.8M)";"(876M)";"(267.6M)";"(496.9M)";"(1.16B)";"53.8M";"7.7M";"42.1M";"87.3M";"4.3M"
"LHX";"(136M)";"(173M)";"(368M)";"(342M)";"(252M)";"(2M)";"1.13B";"-";"-";"-";"-";"363M";"1.13B";"1.75B";"19M"
"LKQ";"(250.03M)";"(265.73M)";"(172.7M)";"(293.47M)";"(222M)";"(1.21B)";"(27.3M)";"(7.36M)";"(123.9M)";"(4M)";"27.66M";"34.51M";"21.89M";"19.57M";"408M"
"LLY";"(3.02B)";"(1.35B)";"(2.03B)";"(1.87B)";"(2.48B)";"-";"(7.29B)";"(849.3M)";"(747.4M)";"(327.2M)";"-";"354.8M";"-";"-";"-"
"LMT";"(1.28B)";"(1.48B)";"(1.77B)";"(1.52B)";"(1.67B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"LNC";"-";"-";"-";"-";"-";"(1.42B)";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"LNT";"(1.63B)";"(1.64B)";"(1.37B)";"(1.17B)";"(1.48B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"29M"
"LOW";"(1.17B)";"(1.48B)";"(1.79B)";"(1.85B)";"(1.83B)";"-";"-";"-";"-";"-";"76M";"163M";"90M";"113M";"536M"
"LRCX";"(303.49M)";"(203.24M)";"(349.1M)";"(546.03M)";"(501.57M)";"-";"-";"-";"-";"(119.96M)";"-";"-";"-";"-";"-"
"LUMN";"(3.18B)";"(3.63B)";"(3.73B)";"(2.9B)";"(3.02B)";"-";"-";"-";"-";"-";"158M";"93M";"153M";"135M";"8.49B"
"LUV";"(1.98B)";"(1.03B)";"(515M)";"(511M)";"(3.95B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"LVS";"(949M)";"(1.27B)";"(1.23B)";"(839M)";"(780M)";"-";"-";"-";"-";"-";"19M";"1.17B";"1M";"7M";"9M"
"LW";"(334.2M)";"(208.4M)";"(163.3M)";"(306.4M)";"(736M)";"(166.8M)";"(116.7M)";"-";"-";"-";"-";"-";"-";"-";"-"
"LYB";"(2.11B)";"(2.69B)";"(1.95B)";"(1.96B)";"(1.89B)";"(1.78B)";"(63M)";"(30M)";"-";"-";"37M";"5M";"15M";"-";"-"
"LYV";"(275.46M)";"(365.83M)";"(222.61M)";"(159.83M)";"(353.29M)";"(279.86M)";"(285.34M)";"(147.33M)";"(393.89M)";"(305.5M)";"4.9M";"14.29M";"5.42M";"22.03M";"15.02M"
"MA";"(504M)";"(728M)";"(708M)";"(814M)";"(1.1B)";"-";"(1.44B)";"(1.04B)";"(4.57B)";"(317M)";"-";"-";"-";"-";"-"
"MAA";"(254.72M)";"(303.1M)";"(426.94M)";"(279.64M)";"(296.18M)";"-";"-";"-";"-";"(43.07M)";"-";"-";"-";"-";"-"
"MAR";"(556M)";"(653M)";"(135M)";"(183M)";"(332M)";"-";"-";"-";"-";"-";"479M";"395M";"260M";"12M";"1M"
"MAS";"(219M)";"(162M)";"(114M)";"(128M)";"(224M)";"(549M)";"-";"(227M)";"(57M)";"-";"14M";"756M";"871M";"5M";"1M"
"MCD";"(2.74B)";"(2.39B)";"(1.64B)";"(2.04B)";"(1.9B)";"(101.7M)";"(540.9M)";"(66.1M)";"(374.2M)";"(807M)";"691.2M";"492M";"103.7M";"302.4M";"484.8M"
"MCHP";"(247.5M)";"(139.1M)";"(181.6M)";"(491.8M)";"(600.4M)";"(7.85B)";"-";"-";"-";"-";"200K";"3.2M";"8.3M";"14.1M";"900K"
"MCK";"(557M)";"(506M)";"(641M)";"(535M)";"(558M)";"(905M)";"(133M)";"(35M)";"(6M)";"(867M)";"101M";"37M";"400M";"578M";"1.08B"
"MCO";"(90.4M)";"(69M)";"(103M)";"(139M)";"(283M)";"(289.3M)";"(174M)";"(920M)";"(2.18B)";"(97M)";"5.7M";"226M";"-";"-";"-"
"MDLZ";"(1.1B)";"(925M)";"(863M)";"(965M)";"(906M)";"(528M)";"(284M)";"(1.14B)";"(833M)";"(5.29B)";"399M";"82M";"10M";"233M";"-"
"MDT";"(1.13B)";"(1.21B)";"(1.36B)";"(1.37B)";"(1.46B)";"(1.83B)";"(488M)";"(994M)";"(91M)";"(1.87B)";"-";"-";"-";"-";"-"
"MET";"-";"-";"-";"-";"-";"-";"(32M)";"(1.68B)";"-";"(35M)";"-";"-";"-";"3.27B";"590M"
"META";"(13.92B)";"(15.1B)";"(15.12B)";"(18.57B)";"(31.43B)";"(137M)";"(508M)";"(388M)";"(851M)";"(1.31B)";"-";"-";"-";"-";"245M"
"MGM";"(1.49B)";"(739.01M)";"(270.58M)";"(490.7M)";"(765.07M)";"(1.03B)";"(535.68M)";"-";"(1.79B)";"(1.89B)";"25.61M";"4.81B";"2.46B";"4B";"1.17B"
"MHK";"(794.11M)";"(545.46M)";"(425.56M)";"(676.12M)";"(580.74M)";"(603.9M)";"(81.08M)";"-";"(123.97M)";"(209.6M)";"-";"-";"-";"-";"-"
"MKC";"(169.1M)";"(173.7M)";"(225.3M)";"(278M)";"(262M)";"(17.2M)";"-";"(803M)";"(706.4M)";"-";"-";"-";"-";"65.4M";"95.2M"
"MKTX";"(47.59M)";"(34.7M)";"(45.63M)";"(50.62M)";"(51.87M)";"-";"(97.43M)";"(23.3M)";"(17.08M)";"-";"-";"-";"-";"-";"-"
"MLM";"(375.95M)";"(393.5M)";"(359.7M)";"(423.1M)";"(481.8M)";"(1.65B)";"-";"(65.1M)";"(3.11B)";"11M";"69.11M";"8.4M";"142.3M";"42.8M";"687.1M"
"MMC";"(314M)";"(421M)";"(348M)";"(406M)";"(470M)";"(884M)";"(5.51B)";"(668M)";"(859M)";"(572M)";"113M";"239M";"104M";"84M";"119M"
"MMM";"(1.58B)";"(1.7B)";"(1.5B)";"(1.6B)";"(1.75B)";"-";"(4.98B)";"(25M)";"-";"-";"1.12B";"359M";"704M";"51M";"691M"
"MNST";"(86.74M)";"(111.66M)";"(93.7M)";"(68.81M)";"(238.5M)";"-";"-";"-";"-";"(329.47M)";"4.3M";"1.24M";"993K";"1.33M";"1.31M"
"MO";"(238M)";"(246M)";"(231M)";"(169M)";"(205M)";"(15M)";"(421M)";"-";"-";"-";"-";"-";"-";"1.18B";"1B"
"MOH";"(30M)";"(57M)";"(74M)";"(77M)";"(91M)";"-";"-";"(755M)";"(129M)";"(134M)";"190M";"-";"-";"-";"-"
"MOS";"(954.5M)";"(1.27B)";"(1.17B)";"(1.29B)";"(1.25B)";"(985.3M)";"(55.1M)";"-";"(24.1M)";"-";"12.6M";"4M";"-";"28.1M";"-"
"MPC";"(3.58B)";"(4.81B)";"(2.79B)";"(1.46B)";"(2.42B)";"(3.82B)";"(129M)";"-";"(630M)";"(904M)";"66M";"144M";"150M";"153M";"90M"
"MPWR";"(22.53M)";"(96.79M)";"(55.64M)";"(95.24M)";"(58.84M)";"-";"-";"-";"-";"-";"-";"9.27M";"29K";"25K";"-"
"MRK";"(2.62B)";"(3.47B)";"(4.43B)";"(4.45B)";"(4.39B)";"(431M)";"(4.95B)";"(6.61B)";"(12.91B)";"(121M)";"-";"-";"-";"-";"-"
"MRNA";"(105.77M)";"(31.55M)";"(67.45M)";"(284M)";"(400M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MRO";"(2.78B)";"(2.55B)";"(1.34B)";"(1.05B)";"(1.45B)";"(25M)";"(293M)";"(1M)";"(47M)";"(3.18B)";"1.26B";"(76M)";"18M";"22M";"11M"
"MS";"(1.87B)";"(1.83B)";"(1.44B)";"(2.31B)";"(3.08B)";"(130M)";"-";"-";"(2.65B)";"-";"-";"-";"3.81B";"-";"-"
"MSCI";"(48.96M)";"(53.77M)";"(50.98M)";"(52.79M)";"(72.9M)";"-";"(18.18M)";"-";"(955.5M)";"-";"83.84M";"10K";"-";"-";"-"
"MSFT";"(13.93B)";"(15.44B)";"(20.62B)";"(23.89B)";"(28.11B)";"(2.39B)";"(2.52B)";"(8.91B)";"(22.04B)";"(1.67B)";"-";"-";"-";"-";"-"
"MSI";"(197M)";"(248M)";"(217M)";"(243M)";"(256M)";"-";"-";"-";"-";"-";"-";"7M";"56M";"6M";"-"
"MTB";"(97.68M)";"(648.13M)";"(927.11M)";"(346.35M)";"(214.39M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"393.92M"
"MTCH";"(42.38M)";"(79.97M)";"(49.13M)";"";"(49.13M)";"(3.89B)";"(861.38M)";"(36.24M)";"";"(36.24M)";"-";"-";"-";"";"-"
"MTD";"(142.73M)";"(97.34M)";"(92.49M)";"(107.58M)";"(121.24M)";"(5.53M)";"(2M)";"(6.24M)";"(220.86M)";"(37.95M)";"8.19M";"1.42M";"3.11M";"3.65M";"399K"
"MU";"(8.88B)";"(9.78B)";"(8.22B)";"(10.03B)";"(12.07B)";"-";"-";"(744M)";"-";"-";"-";"-";"-";"-";"888M"
"NCLH";"(1.57B)";"(1.64B)";"(946.55M)";"(752.84M)";"(1.78B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"NDAQ";"(111M)";"(127M)";"(188M)";"(163M)";"(152M)";"(101M)";"(206M)";"(157M)";"(2.43B)";"(41M)";"286M";"132M";"-";"190M";"-"
"NDSN";"(89.79M)";"(64.24M)";"(50.54M)";"(38.3M)";"(51.43M)";"(50.59M)";"(12.49M)";"(142.41M)";"-";"(171.61M)";"458K";"1.29M";"840K";"163K";"280K"
"NEE";"(6.01B)";"(11.08B)";"(7.76B)";"(7.83B)";"(9.74B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"NEM";"(1.03B)";"(1.46B)";"(1.3B)";"(1.65B)";"(2.13B)";"(140M)";"127M";"-";"(328M)";"(363M)";"148M";"93M";"112M";"100M";"117M"
"NFLX";"(339.12M)";"(387.06M)";"(505.35M)";"(551.5M)";"(407.73M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"NI";"(1.82B)";"(1.8B)";"(1.76B)";"(1.84B)";"(2.2B)";"-";"-";"-";"-";"-";"-";"-";"1.2B";"245.8M";"21.2M"
"NKE";"(1.12B)";"(1.09B)";"(695M)";"(758M)";"(969M)";"-";"-";"-";"-";"-";"5M";"-";"-";"-";"-"
"NOC";"(1.25B)";"(1.26B)";"(1.42B)";"(1.42B)";"(1.44B)";"(7.66B)";"-";"-";"-";"-";"-";"-";"205M";"3.48B";"155M"
"NOW";"(248.86M)";"(337.58M)";"(432.52M)";"(399M)";"(550M)";"(37.44M)";"(7.41M)";"(107.24M)";"(785M)";"(91M)";"-";"-";"-";"-";"-"
"NRG";"(388M)";"(228M)";"(240M)";"(269M)";"(373M)";"(511M)";"(355M)";"(284M)";"(3.56B)";"(62M)";"1.56B";"1.29B";"81M";"830M";"109M"
"NSC";"(1.95B)";"(2.02B)";"(1.49B)";"(1.47B)";"(1.95B)";"-";"-";"-";"-";"-";"204M";"377M";"333M";"159M";"263M"
"NTAP";"(173M)";"(124M)";"(162M)";"(226M)";"(239M)";"(3M)";"(73M)";"(350M)";"(380M)";"(491M)";"-";"96M";"371M";"-";"-"
"NTRS";"(506M)";"(2.1B)";"(560.4M)";"(515.1M)";"(1.22B)";"(104.2M)";"(10.5M)";"-";"-";"-";"-";"-";"-";"-";"-"
"NUE";"(982.53M)";"(1.48B)";"(1.54B)";"(1.62B)";"(1.95B)";"(33.06M)";"(83.11M)";"(88.07M)";"(1.43B)";"(3.55B)";"31.59M";"41.62M";"40.93M";"19.4M";"131.96M"
"NVDA";"(600M)";"(489M)";"(1.13B)";"(976M)";"(1.83B)";"-";"-";"(8.52B)";"(263M)";"(49M)";"-";"-";"-";"-";"-"
"NVR";"(19.67M)";"(22.7M)";"(16.12M)";"(17.88M)";"(18.43M)";"-";"-";"-";"-";"-";"1.26M";"1.87M";"996K";"978K";"732K"
"NWL";"(384.4M)";"(264.9M)";"(259M)";"(289M)";"(312M)";"-";"-";"-";"(28M)";"-";"5.13B";"995.7M";"16M";"-";"617M"
"NWS";"(572M)";"(438M)";"(390M)";"(499M)";"(499M)";"(188M)";"(32M)";"(886M)";"(1.5B)";"(17M)";"103M";"36M";"24M";"3M";"66M"
"NWSA";"(572M)";"(438M)";"(390M)";"(499M)";"(499M)";"(188M)";"(32M)";"(886M)";"(1.5B)";"(17M)";"103M";"36M";"24M";"3M";"66M"
"NXPI";"(661M)";"(628M)";"(522M)";"(932M)";"(1.23B)";"(18M)";"(1.7B)";"(34M)";"(23M)";"(27M)";"160M";"60M";"165M";"1M";"2M"
"O";"(25.35M)";"(23.54M)";"(8.71M)";"(19.08M)";"(95.51M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"ODFL";"(588.29M)";"(479.33M)";"(225.08M)";"(550.08M)";"(775.15M)";"-";"-";"-";"-";"-";"6.98M";"5.69M";"3.69M";"19.55M";"22.1M"
"OGN";"(101M)";"(109M)";"(255M)";"(296M)";"(303M)";"-";"-";"-";"(192M)";"(124M)";"32M";"7M";"5M";"7M";"7M"
"OKE";"(2.14B)";"(3.85B)";"(2.2B)";"(696.85M)";"(1.2B)";"(195M)";"-";"-";"-";"-";"1.58M";"-";"-";"-";"-"
"OMC";"(195.7M)";"(102.2M)";"(75.4M)";"(665.8M)";"(78.2M)";"(394M)";"(61.4M)";"(89.4M)";"(181.9M)";"(297.6M)";"308.4M";"79.4M";"3.2M";"114.1M";"-"
"ON";"(514.8M)";"(634.6M)";"(483.6M)";"(492M)";"(1.04B)";"(95.5M)";"(888M)";"(4.5M)";"(399.4M)";"(2.4M)";"49M";"11.7M";"8.5M";"21M";"322.2M"
"ORCL";"(1.66B)";"(1.56B)";"(2.14B)";"(4.51B)";"(8.7B)";"(363M)";"(124M)";"(41M)";"(148M)";"(27.72B)";"-";"-";"-";"-";"-"
"ORLY";"(504.27M)";"(628.06M)";"(465.58M)";"(442.85M)";"(563.34M)";"-";"-";"-";"-";"-";"4.78M";"7.12M";"15.77M";"9.49M";"14.8M"
"OTIS";"(172M)";"(145M)";"(183M)";"(156M)";"(115M)";"(50M)";"(47M)";"(53M)";"(80M)";"(46M)";"-";"-";"-";"-";"61M"
"OXY";"(4.98B)";"(6.37B)";"(2.54B)";"(2.87B)";"(4.5B)";"(928M)";"(28.09B)";"(114M)";"(431M)";"(990M)";"2.82B";"6.14B";"2.28B";"1.62B";"584M"
"PARA";"(352M)";"(345M)";"(324M)";"(354M)";"(358M)";"(118M)";"(399M)";"(147M)";"(289M)";"(218M)";"39M";"756M";"593M";"3.03B";"95M"
"PAYC";"(59.91M)";"(92.93M)";"(94.1M)";"(126.19M)";"(136.8M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"PAYX";"(129.1M)";"(136.8M)";"(123.3M)";"(143.2M)";"(153.4M)";"(992.2M)";"(6.1M)";"(19.5M)";"(24.9M)";"(2.7M)";"-";"-";"-";"-";"16.7M"
"PCAR";"(1.95B)";"(1.97B)";"(1.64B)";"(1.63B)";"(1.39B)";"-";"-";"-";"-";"-";"653.7M";"638.1M";"601.9M";"904.1M";"687.7M"
"PCG";"(6.51B)";"(6.31B)";"(7.69B)";"(7.69B)";"(9.58B)";"-";"-";"-";"-";"-";"-";"-";"-";"749M";"-"
"PEAK";"(106.19M)";"(108.84M)";"(94.12M)";"(111.48M)";"(108.51M)";"-";"-";"-";"-";"-";"299.67M";"388.09M";"-";"640K";"1.39M"
"PEG";"(3.91B)";"(3.17B)";"(2.92B)";"(2.72B)";"(2.89B)";"-";"-";"-";"-";"-";"-";"-";"301M";"569M";"1.92B"
"PEP";"(3.28B)";"(4.23B)";"(4.24B)";"(4.63B)";"(5.21B)";"(1.2B)";"(1.94B)";"-";"(61M)";"(873M)";"639M";"423M";"59M";"335M";"3.76B"
"PFE";"(2.2B)";"(2.49B)";"(2.23B)";"(2.71B)";"(3.24B)";"-";"(10.86B)";"-";"-";"(23B)";"-";"-";"-";"-";"-"
"PFG";"(92.3M)";"(132.4M)";"(108.8M)";"(129.9M)";"(116.3M)";"(215.8M)";"(1.21B)";"(1.4M)";"(24.2M)";"(9.2M)";"-";"-";"-";"27M";"-"
"PG";"(3.35B)";"(3.07B)";"(2.79B)";"(3.16B)";"(3.06B)";"(3.95B)";"(58M)";"(34M)";"(1.38B)";"(765M)";"394M";"30M";"42M";"110M";"46M"
"PGR";"(266M)";"(363.5M)";"(223.5M)";"(243.5M)";"(292M)";"-";"-";"-";"(313.2M)";"-";"9.4M";"53.3M";"21.9M";"66.2M";"35.1M"
"PH";"(195.09M)";"(232.59M)";"(209.96M)";"(230.04M)";"(380.75M)";"(2.04M)";"(5.08B)";"-";"-";"(7.15B)";"66.27M";"26.35M";"140.59M";"42.72M";"486.45M"
"PHM";"(59.04M)";"(58.12M)";"(58.35M)";"(72.78M)";"(112.66M)";"-";"(163.72M)";"(83.25M)";"(10.4M)";"(10.4M)";"-";"-";"-";"-";"-"
"PKG";"(555.9M)";"(403.3M)";"(427.6M)";"(606.9M)";"(830.4M)";"(56.3M)";"-";"-";"(194.9M)";"-";"1.5M";"4.1M";"4.6M";"7.9M";"2.2M"
"PLD";"(227.94M)";"(322.3M)";"(370.98M)";"(498.99M)";"(550.59M)";"(121.79M)";"(109.81M)";"(1.81B)";"(153.24M)";"(181.03M)";"170.07M";"11.6M";"917.09M";"74.4M";"13.3M"
"PM";"(1.44B)";"(852M)";"(602M)";"(748M)";"(1.08B)";"(81M)";"-";"(776M)";"(2.69B)";"(16.33B)";"-";"51M";"-";"-";"-"
"PNC";"-";"-";"-";"(950M)";"(50M)";"-";"-";"-";"(10.51B)";"-";"-";"75M";"14.23B";"-";"-"
"PNR";"(48.2M)";"(58.5M)";"(62.2M)";"(60.2M)";"(85.2M)";"(13.7M)";"(287.8M)";"(58M)";"(338.5M)";"(1.58B)";"200K";"15.9M";"100K";"5.3M";"4.1M"
"PNW";"(1.18B)";"(1.19B)";"(1.33B)";"(1.47B)";"(1.71B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"POOL";"(31.58M)";"(33.36M)";"(21.7M)";"(37.66M)";"(43.62M)";"(2.58M)";"(8.9M)";"(124.59M)";"(811.96M)";"(9.26M)";"-";"-";"-";"-";"-"
"PPG";"(411M)";"(413M)";"(304M)";"(371M)";"(518M)";"(378M)";"(682M)";"(1.17B)";"(2.14B)";"(114M)";"27M";"-";"-";"47M";"117M"
"PPL";"(3.24B)";"(3.08B)";"(2.27B)";"(1.97B)";"(2.16B)";"-";"-";"-";"-";"(3.66B)";"-";"-";"-";"-";"146M"
"PRU";"-";"-";"-";"-";"-";"-";"(1.76B)";"-";"-";"-";"-";"-";"1.45B";"132M";"422M"
"PSA";"(140.07M)";"(187.31M)";"(170M)";"(270.24M)";"(459.77M)";"-";"(35M)";"(33K)";"(692K)";"-";"1.72M";"4.15M";"2.63M";"2.45M";"1.67M"
"PSX";"(2.64B)";"(3.87B)";"(2.92B)";"(1.86B)";"(2.19B)";"-";"-";"-";"(24M)";"(500M)";"57M";"157M";"51M";"27M";"4M"
"PTC";"(39.04M)";"(64.41M)";"(31.25M)";"(25.26M)";"(25.95M)";"(3M)";"(86.74M)";"(483.48M)";"(718.03M)";"(282.94M)";"-";"-";"-";"-";"32.52M"
"PWR";"(308.04M)";"(262.27M)";"(260.57M)";"(386.72M)";"(428.78M)";"(94.92M)";"(387.97M)";"(292.57M)";"(2.45B)";"(195.09M)";"31.78M";"31.14M";"54.18M";"49.19M";"62.06M"
"PXD";"(3.78B)";"(3.22B)";"(1.73B)";"(3.29B)";"(4.03B)";"-";"-";"-";"(826M)";"-";"469M";"149M";"60M";"3.24B";"367M"
"PYPL";"(823M)";"(704M)";"(866M)";"(908M)";"(706M)";"(2.12B)";"(70M)";"(3.61B)";"(2.76B)";"-";"3M";"17M";"120M";"5M";"5M"
"QCOM";"(784M)";"(887M)";"(1.41B)";"(1.89B)";"(2.26B)";"(326M)";"(252M)";"(185M)";"(1.38B)";"(4.91B)";"-";"-";"-";"-";"-"
"QRVO";"(220.94M)";"(164.1M)";"(186.96M)";"(213.47M)";"(158.95M)";"-";"(946.04M)";"(47.07M)";"(389.14M)";"(95K)";"-";"-";"-";"-";"-"
"RCL";"(3.66B)";"(3.02B)";"(1.97B)";"(2.23B)";"(2.71B)";"(916.14M)";"-";"-";"-";"-";"-";"-";"27.8M";"176.04M";"421K"
"REG";"(136.6M)";"(147.11M)";"(160.65M)";"(146.39M)";"(155.07M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"REGN";"(383.1M)";"(429.6M)";"(614.6M)";"(551.9M)";"(1.62B)";"-";"-";"-";"-";"(230.3M)";"-";"-";"-";"-";"-"
"RF";"(226M)";"(210M)";"(194M)";"(165M)";"(382M)";"-";"-";"(381M)";"(1.18B)";"-";"357M";"-";"-";"-";"-"
"RHI";"(42.48M)";"(59.46M)";"(33.38M)";"(36.61M)";"(61.12M)";"-";"-";"(15.84M)";"-";"(18.98M)";"-";"-";"-";"-";"-"
"RJF";"(133.59M)";"(138M)";"(124M)";"(74M)";"(91M)";"(159.2M)";"(5M)";"(5M)";"(266M)";"-";"-";"-";"-";"-";"1.46B"
"RL";"(197.7M)";"(270.3M)";"(107.8M)";"(166.9M)";"(217.5M)";"(4.5M)";"-";"-";"-";"-";"20M";"21.7M";"-";"-";"-"
"RMD";"(77.34M)";"(105.94M)";"(116.83M)";"(156.04M)";"(134M)";"(951.38M)";"(27.91M)";"(39.07M)";"(42.78M)";"(1.01B)";"-";"-";"-";"-";"-"
"ROK";"(125.5M)";"(132.8M)";"(113.9M)";"(120.3M)";"(141.1M)";"(9.9M)";"(20.7M)";"(550.9M)";"(2.49B)";"(16.6M)";"500K";"4.5M";"14.9M";"400K";"600K"
"ROL";"(27.18M)";"(27.15M)";"(23.23M)";"(27.19M)";"(30.63M)";"(76.77M)";"(430.56M)";"(147.61M)";"(146.1M)";"(119.19M)";"1.84M";"1.76M";"7.7M";"74.44M";"14.6M"
